system:index,Landcover_Class,B2,B3,B4,B5,B6,B7,B1
28556_0,19,458,695,508,2711,2085,1188,437
28557_0,12,571,871,904,3075,3186,1981,461
28559_0,9,129,312,306,1532,1314,754,79
28561_0,8,271,436,320,3013,1517,710,243
28562_0,17,153,296,270,1891,928,504,134
28564_0,11,327,568,503,1898,1825,1095,254
28565_0,12,502,800,765,2827,3149,1982,437
28567_0,12,395,644,473,2423,2026,1165,349
28568_0,12,281,413,279,3438,1221,539,240
28569_0,12,426,907,935,3079,2850,1587,250
28571_0,17,390,519,689,1301,1758,1390,343
28579_0,17,378,502,543,1056,1141,898,331
28581_0,12,378,777,453,3428,2256,1219,355
28582_0,12,389,655,650,2085,2086,1189,294
28586_0,0,554,735,593,115,27,15,444
28587_0,0,367,267,101,37,15,11,381
28588_0,0,502,495,204,60,27,13,458
28592_0,8,118,208,163,1477,616,279,100
28593_0,0,203,147,70,38,26,16,223
28594_0,18,291,541,496,2289,1650,888,252
28596_0,12,299,559,555,2124,2293,1397,220
28597_0,19,354,441,551,1154,1747,1114,308
28598_0,0,297,345,229,107,55,36,291
28599_0,3,555,681,697,1638,1166,789,487
28602_0,2,313,643,559,2511,2211,1292,241
28604_0,0,430,588,397,73,26,12,329
28605_0,12,391,595,813,1472,2758,2504,321
28611_0,2,301,509,422,2111,1263,777,214
28613_0,4,494,644,636,1760,1416,1017,376
28614_0,8,97,188,108,1660,667,252,76
28615_0,19,281,391,404,1581,1104,688,237
28618_0,17,186,341,263,2580,1171,548,167
28621_0,12,475,788,740,2497,2920,1868,371
28626_0,11,77,252,280,1503,1235,736,22
28627_0,5,1331,1767,2012,2378,2266,1821,1111
28631_0,0,403,393,153,43,21,12,362
28632_0,3,427,613,684,2122,1545,1091,312
28636_0,17,450,799,586,2912,1938,1166,416
28637_0,12,430,763,665,2803,2925,1809,353
28639_0,17,499,593,668,1372,1796,1483,444
28640_0,3,341,541,539,1688,1320,949,255
28641_0,11,349,507,524,1172,1668,1190,295
28642_0,17,692,926,1174,2064,3140,2365,556
28643_0,0,388,366,130,38,19,13,354
28646_0,8,56,122,83,1076,285,122,41
28649_0,17,381,615,683,2130,1776,1261,284
28652_0,8,21,49,30,187,52,25,14
28653_0,12,481,855,558,4152,2885,1486,440
28655_0,4,533,936,1033,1292,1541,1357,328
28656_0,12,372,732,626,2471,2369,1506,291
28658_0,12,319,639,516,2364,2304,1414,252
28659_0,11,398,762,456,4115,2270,1164,373
28660_0,0,566,700,466,75,24,11,469
28664_0,4,322,555,586,1815,1304,873,218
28665_0,12,379,582,640,1456,1724,1248,337
28668_0,17,294,345,361,1072,1160,788,297
28671_0,18,340,529,451,2542,1460,735,302
28673_0,8,143,248,139,1791,707,305,110
28674_0,17,370,508,615,1056,1504,1163,324
28675_0,12,467,848,611,3209,2469,1372,416
28687_0,0,496,640,404,59,19,11,409
28688_0,0,203,255,120,59,42,30,203
28689_0,4,938,1335,1525,1856,2436,2254,726
28693_0,3,481,621,654,1712,1349,1008,393
28697_0,12,193,312,311,1047,942,602,130
28700_0,17,239,559,412,3148,1572,794,212
28702_0,11,470,615,635,1914,2072,1225,415
28707_0,12,499,939,802,3132,2566,1555,432
28708_0,0,281,283,187,99,38,23,285
28711_0,17,805,1128,1299,2680,2746,2388,682
28712_0,17,489,609,740,1283,2016,1692,430
28715_0,9,79,184,121,1605,593,245,21
28716_0,17,588,818,1007,1603,2218,1923,475
28720_0,0,470,524,257,46,20,14,395
28721_0,11,416,692,860,1895,2512,1745,333
28722_0,8,93,241,226,1763,1085,542,10
28723_0,12,252,443,311,1841,1143,589,233
28726_0,0,296,251,109,63,37,21,285
28727_0,17,331,509,502,1600,1618,1021,288
28728_0,17,381,570,532,2197,2073,1342,347
28730_0,4,291,564,626,1803,1115,802,225
28732_0,12,589,887,855,2263,2465,1527,493
28734_0,17,234,553,365,3080,1351,687,171
28736_0,3,365,574,643,1260,1223,910,271
28737_0,4,665,966,1026,1775,1400,1024,514
28738_0,17,423,514,656,1595,2410,1674,370
28739_0,12,421,745,936,2268,3173,2038,253
28740_0,0,679,890,766,221,67,43,531
28741_0,11,303,462,328,2645,1537,722,298
28744_0,0,282,171,94,55,38,24,325
28746_0,12,467,628,697,1433,1667,1302,407
28749_0,9,183,351,345,1218,1304,823,134
28751_0,12,328,675,477,2983,2042,1173,256
28753_0,11,452,664,641,2062,2766,1676,388
28754_0,17,368,649,506,3084,1995,1045,320
28756_0,17,544,726,888,1354,2022,1792,472
28757_0,17,120,315,195,2556,760,347,82
28758_0,5,779,1133,1284,1423,1558,1427,524
28760_0,8,67,124,77,1027,297,118,39
28763_0,4,732,1087,1111,2237,2188,1632,599
28765_0,8,86,196,217,886,778,487,52
28766_0,17,502,670,579,1869,1861,1396,480
28768_0,11,176,360,391,1353,1313,768,87
28769_0,0,555,665,407,68,19,7,482
28770_0,12,304,689,389,3512,2064,986,252
28772_0,11,334,565,506,2424,2231,1267,268
28774_0,9,145,317,281,1636,1389,704,81
28775_0,12,414,625,622,1878,2148,1458,321
28776_0,0,314,223,97,51,29,21,317
28779_0,0,555,757,664,134,30,10,429
28782_0,5,2807,3576,3953,4470,4688,2876,2431
28783_0,0,213,163,94,57,33,28,232
28785_0,2,502,773,844,2247,2217,1430,418
