system:index,Landcover_Class,B2,B3,B4,B5,B6,B7,B1
3807_0,17,444,746,756,2584,1899,1255,364
3809_0,11,338,575,467,2458,1808,1085,257
3811_0,9,109,179,144,1037,556,286,46
3812_0,17,266,480,261,3679,1666,693,268
3816_0,12,323,643,454,2806,1977,1046,273
3817_0,12,377,752,571,3273,2256,1245,310
3818_0,17,446,682,601,2680,2197,1288,405
3820_0,0,248,244,106,58,41,23,226
3824_0,17,266,532,270,4347,1773,748,265
3825_0,17,254,401,338,2482,1293,712,205
3826_0,12,483,808,658,2719,2350,1352,429
3827_0,4,685,828,902,1521,1264,1015,618
3828_0,5,609,607,635,877,769,663,565
3829_0,9,296,465,424,2255,1742,949,249
3830_0,18,235,371,335,1703,1248,750,158
3834_0,0,490,566,283,51,19,13,415
3836_0,17,579,765,878,1514,2429,2296,500
3837_0,12,372,673,467,2681,1626,971,332
3838_0,9,251,199,132,636,228,84,253
3839_0,19,192,413,420,1869,1188,699,114
3840_0,9,159,316,333,1355,1368,792,102
3841_0,8,121,213,189,1404,803,369,79
3844_0,0,509,625,424,148,208,123,411
3845_0,17,518,806,1007,1632,2494,2124,424
3847_0,3,607,814,794,1990,1656,1204,546
3851_0,8,133,252,181,2211,901,394,87
3857_0,11,182,389,377,1641,1380,788,97
3859_0,17,392,541,652,964,1620,1442,334
3860_0,11,222,265,226,815,884,480,204
3863_0,11,245,403,344,1435,1163,773,196
3866_0,17,467,646,783,1574,2074,1756,371
3871_0,0,503,664,495,77,16,9,374
3874_0,17,280,520,308,4053,1716,787,278
3876_0,3,474,668,774,1433,1288,964,366
3877_0,5,742,1019,1081,1592,1496,1276,675
3880_0,11,311,467,458,1863,1937,1201,232
3881_0,12,606,902,1027,2317,3268,2169,467
3882_0,17,208,419,354,2369,1112,613,151
3883_0,12,321,586,570,1971,2197,1422,229
3884_0,17,578,830,1069,1462,1935,1693,500
3886_0,11,177,318,331,1124,1186,710,104
3888_0,0,541,733,563,110,25,18,421
3889_0,17,383,523,680,1177,2658,2523,294
3896_0,11,449,688,771,1920,2741,1710,323
3897_0,12,291,712,417,3970,2248,1117,243
3898_0,4,690,978,1063,1642,1650,1358,555
3902_0,17,336,680,601,3217,1871,1104,262
3903_0,11,268,486,552,1836,2418,1567,163
3906_0,11,158,317,378,1268,1532,1003,97
3908_0,12,430,691,585,2164,1968,1149,381
3909_0,0,462,477,208,73,33,25,401
3911_0,0,221,168,91,58,39,24,233
3916_0,11,281,534,494,2143,1827,1083,209
3918_0,0,268,251,107,56,45,33,243
3919_0,0,412,385,148,40,21,15,377
3920_0,2,247,525,386,3419,2046,1014,188
3922_0,0,261,209,100,54,37,21,262
3923_0,3,667,528,515,1995,2018,1430,574
3927_0,8,144,274,171,2490,929,375,103
3928_0,0,582,694,493,87,18,13,474
3931_0,11,446,650,695,2043,2392,1564,393
3932_0,2,135,252,193,1719,847,390,98
3934_0,11,664,979,1177,2191,3065,2174,480
3936_0,12,233,372,392,887,993,654,179
3937_0,2,719,1007,1196,2058,3543,2777,604
3939_0,0,371,292,104,33,24,11,349
3940_0,17,276,597,416,3126,1685,910,231
3941_0,5,524,790,780,1683,1091,707,488
3943_0,11,335,537,509,2183,2012,1189,280
3944_0,3,454,705,734,1999,1560,1090,370
3945_0,11,149,344,351,1701,1280,685,75
3946_0,11,324,413,373,1206,1451,917,309
3949_0,12,228,289,254,541,485,279,193
3950_0,9,267,484,467,1881,1809,1069,191
3951_0,17,315,519,475,1979,1426,889,282
3953_0,12,644,1022,1271,2346,3241,2283,472
3955_0,17,420,491,555,911,1933,2015,403
3956_0,16,566,737,896,1467,2327,2034,502
3959_0,2,328,716,518,3554,2281,1173,264
3962_0,0,208,194,98,32,20,13,236
3964_0,9,59,99,55,591,226,86,44
3965_0,17,407,606,734,1544,1831,1341,318
3966_0,17,341,527,486,1562,1421,921,313
3970_0,0,461,588,401,69,19,7,352
3971_0,12,785,1264,1406,3526,3744,2308,603
3973_0,17,415,590,719,1369,1774,1652,345
3975_0,2,198,314,264,1655,818,441,150
3976_0,17,377,520,598,1663,1677,1119,340
3979_0,17,530,793,997,1588,2358,1933,441
3980_0,0,331,401,235,52,19,7,281
3981_0,12,485,767,754,2725,2660,1596,428
3982_0,0,453,312,114,48,25,14,441
3984_0,11,275,552,642,2635,2347,1384,135
3986_0,12,455,726,699,2131,2332,1471,383
3987_0,12,388,623,517,1864,1619,988,341
3989_0,6,1516,2250,2699,3230,4129,3802,1274
3990_0,3,406,659,625,2731,1752,1104,333
3991_0,12,463,805,814,2703,2974,1860,348
3992_0,3,700,893,985,1842,2042,1531,580
3993_0,3,439,615,603,1678,1295,883,352
3997_0,12,353,669,643,2616,2549,1567,272
3998_0,17,432,710,688,2317,1955,1323,366
3999_0,17,553,672,829,1430,2808,2650,492
4001_0,17,349,471,455,2066,1740,986,318
4004_0,12,391,543,485,1536,1756,1055,350
4007_0,4,468,658,660,1684,1223,907,347
4008_0,4,541,804,886,1555,1487,1208,387
4009_0,0,209,261,244,218,41,29,216
4010_0,12,162,324,362,1318,1225,824,99
4012_0,9,256,421,387,2308,1663,920,197
4013_0,17,736,985,1251,1951,3240,2550,602
4015_0,3,439,568,587,1539,1377,911,368
4016_0,2,486,762,911,1744,2482,1698,385
4020_0,18,342,480,510,1253,1743,1358,288
4023_0,7,338,558,625,1869,2371,1490,257
4024_0,0,203,147,75,44,28,18,219
